model,sequence,layer,cosine,rho_seq_on_yr,p_seq_on_yr,rho_yr_on_seq,p_yr_on_seq
bert,ruling_dynasty,1,-0.022202497348189354,-0.3214285714285715,0.4820720382996776,-0.05357142857142857,0.8496099367776072
bert,ruling_dynasty,2,-0.08507287502288818,-0.1785714285714286,0.7016579425162728,-0.5892857142857142,0.02079435848316165
bert,ruling_dynasty,3,-0.1969369500875473,-0.1785714285714286,0.7016579425162728,-0.7785714285714285,0.0006273501294803567
bert,ruling_dynasty,4,0.07269032299518585,0.8571428571428573,0.013697326615325611,0.4392857142857142,0.10136057119347246
bert,ruling_dynasty,5,0.19875121116638184,0.8928571428571429,0.006807187408935391,0.7571428571428571,0.0010811081941858348
bert,ruling_dynasty,6,0.16972337663173676,0.8571428571428573,0.013697326615325611,0.5785714285714285,0.023846658762996617
bert,ruling_dynasty,7,0.09523379802703857,0.28571428571428575,0.5345092286010408,0.4357142857142856,0.10449335704406652
bert,ruling_dynasty,8,-0.01841115579009056,-0.28571428571428575,0.5345092286010408,-0.11071428571428568,0.6944626472070964
bert,ruling_dynasty,9,-0.019190620630979538,-0.39285714285714296,0.3833168704269725,-0.05357142857142857,0.8496099367776072
bert,ruling_dynasty,10,-0.026210203766822815,-0.42857142857142866,0.3373683110858241,-0.18214285714285713,0.5158816817070392
bert,ruling_dynasty,11,0.10098052769899368,0.7857142857142859,0.03623846267982714,0.7964285714285713,0.00038046767853463365
bert,ruling_dynasty,12,0.09758675843477249,0.7500000000000002,0.05218140045705777,0.5892857142857142,0.02079435848316165
bert,primary_weapon,1,0.39303648471832275,0.39999999999999997,0.6,0.3071428571428571,0.2654726857102781
bert,primary_weapon,2,0.16145803034305573,0.39999999999999997,0.6,0.8785714285714284,1.63152802865443e-05
bert,primary_weapon,3,0.21022558212280273,0.39999999999999997,0.6,0.7607142857142856,0.000991128611982373
bert,primary_weapon,4,0.27968063950538635,1.0,0.0,0.7892857142857141,0.0004673267561781765
bert,primary_weapon,5,0.3000492751598358,1.0,0.0,0.9035714285714285,3.880504128799778e-06
bert,primary_weapon,6,0.16487105190753937,0.7999999999999999,0.2000000000000001,0.6857142857142856,0.004772245222691261
bert,primary_weapon,7,0.11769191920757294,0.7999999999999999,0.2000000000000001,0.5821428571428571,0.022793687126414285
bert,primary_weapon,8,0.08460661768913269,0.39999999999999997,0.6,0.4428571428571427,0.09829406554687141
bert,primary_weapon,9,0.04367806762456894,0.0,1.0,0.23928571428571427,0.3903793119202355
bert,primary_weapon,10,0.10764080286026001,0.7999999999999999,0.2000000000000001,0.4964285714285714,0.05979741374992395
bert,primary_weapon,11,0.12593989074230194,0.7999999999999999,0.2000000000000001,0.6214285714285712,0.013402006712181815
bert,primary_weapon,12,0.14969202876091003,1.0,0.0,0.807142857142857,0.0002752442706954195
bert,ship_construction,1,0.20005957782268524,0.5,0.6666666666666666,0.09285714285714285,0.7420450099073671
bert,ship_construction,2,0.047660961747169495,1.0,0.0,0.1714285714285714,0.5412721760996332
bert,ship_construction,3,0.048544272780418396,0.5,0.6666666666666666,0.04642857142857142,0.8694915255450947
bert,ship_construction,4,-0.10076262056827545,-0.5,0.6666666666666666,-0.4964285714285714,0.05979741374992395
bert,ship_construction,5,0.08801747858524323,0.5,0.6666666666666666,0.3321428571428571,0.22647175907072442
bert,ship_construction,6,0.20731157064437866,1.0,0.0,0.4964285714285714,0.05979741374992395
bert,ship_construction,7,0.18909510970115662,1.0,0.0,0.48214285714285704,0.06874953772064371
bert,ship_construction,8,0.2521613836288452,1.0,0.0,0.5357142857142856,0.03956697222954946
bert,ship_construction,9,0.21955472230911255,1.0,0.0,0.34642857142857136,0.20589599209355114
bert,ship_construction,10,0.1983877569437027,1.0,0.0,0.42857142857142855,0.11096021426087672
bert,ship_construction,11,0.14733150601387024,1.0,0.0,0.39999999999999997,0.1395951293721447
bert,ship_construction,12,0.040770649909973145,0.5,0.6666666666666666,0.07142857142857141,0.8002959873970545
bert,primary_fuel,1,-0.08821514248847961,-1.0,0.0,-0.05714285714285713,0.8396998687415759
bert,primary_fuel,2,-0.0877377986907959,-0.5,0.6666666666666666,-0.1464285714285714,0.602549920983054
bert,primary_fuel,3,-0.022419659420847893,-0.5,0.6666666666666666,-0.049999999999999996,0.859540943467457
bert,primary_fuel,4,0.2914718985557556,0.5,0.6666666666666666,0.5535714285714285,0.032287103770123615
bert,primary_fuel,5,0.18860602378845215,1.0,0.0,0.6785714285714285,0.005416550219591711
bert,primary_fuel,6,0.05733282491564751,0.5,0.6666666666666666,0.2071428571428571,0.45884280496347013
bert,primary_fuel,7,-0.002278123050928116,-0.5,0.6666666666666666,-0.021428571428571425,0.9395779040128779
bert,primary_fuel,8,-0.07400031387805939,-0.5,0.6666666666666666,-0.1464285714285714,0.602549920983054
bert,primary_fuel,9,-0.06904581934213638,-0.5,0.6666666666666666,-0.20357142857142854,0.4667950724891123
bert,primary_fuel,10,-0.14280450344085693,-1.0,0.0,-0.6928571428571427,0.00419023296029814
bert,primary_fuel,11,0.010817693546414375,0.5,0.6666666666666666,0.07857142857142857,0.7807545523090464
bert,primary_fuel,12,0.04287838563323021,0.5,0.6666666666666666,0.25,0.36884629178393047
